"folioSalida","condicionDePago","medioEmbarque","moneda","cantidadTotal","promedioDescuento","totalImporte","totalDescuento","totalImpuesto","total","pctDescuentoGlobal","numArticulos","numPartidas"
"A021127",,,"P",175,0,23745.49,0,3561.82,27307.31,,1,1
"A021128",,,"P",1,0,43.3,0,0,43.3,,1,1
"A021129",,,"P",55,0,3619.04,0,542.86,4161.9,,1,1
"A021130",,,"P",100,0,0,0,0,0,,1,1
"A021131",,,"P",100,0,12958.54,0,1943.78,14902.32,,1,1
"A021132",,,"P",47,0,11218.98,0,1682.85,12901.83,,1,1
"A021133",,,"P",114,0,0,0,0,0,,2,2
"A021134",,,"P",25,0,16500,0,2475,18975,,24,24
"A021135",,,"P",47,0,54200,0,8130,62330,,24,24
"A021136",,,"P",20,0,13060,0,1959,15019,,15,15
"A021137",,,"P",20,0,7360,0,1104,8464,,17,17
"A021138",,,"P",22,0,20310,0,3046.5,23356.5,,14,14
"A021139",,,"P",8,0,1324.7,0,198.71,1523.41,,7,7
"A021140",,,"P",838,0,11672.1,0,1750.82,13422.92,,1,1
"A021141",,,"P",42,0,5262.97,0,789.45,6052.42,,1,1
"A021142",,,"P",1,0,240,0,36,276,,1,1
"A021143",,,"P",3,0,1000,0,150,1150,,3,3
"A021144",,,"P",200,0,0,0,0,0,,1,1
"A021145",,,"P",200,0,10670.4,0,1600.56,12270.96,,1,1
"A021146",,,"P",1,0,2300,0,345,2645,,1,1
"A021147",,,"P",4,0,1044.66,0,156.7,1201.36,,1,1
"A021148",,,"P",7,0,2850,0,427.5,3277.5,,4,4
"A021149",,,"P",1,0,250,0,37.5,287.5,,1,1
"A021150",,,"P",1,0,2300,0,345,2645,,1,1
"A021151",,,"P",65,0,20558.3,0,3083.75,23642.05,,1,1
"A021152",,,"P",2,0,300,0,45,345,,2,2
"A021153",,,"P",60,0,7606.49,0,1140.97,8747.46,,1,1
"A021154",,,"P",2,0,1700,0,255,1955,,1,1
"A021155",,,"P",2,0,950,0,142.5,1092.5,,2,2
"A021156",,,"P",4,0,440,0,66,506,,1,1
"A021157",,,"P",240,0,8766.58,0,1314.98,10081.56,,3,3
"A021158",,,"P",1,0,110,0,16.5,126.5,,1,1
"A021159",,,"P",9,0,1710.69,0,256.61,1967.3,,6,6
"A021160",,,"P",2,0,1900,0,285,2185,,2,2
"A021161",,,"P",1,0,1800,0,270,2070,,1,1
"A021162",,,"P",1,0,1400,0,210,1610,,1,1
"A021163",,,"P",48,0,35990,0,5398.5,41388.5,,23,23
"A021164",,,"P",22,0,10510,0,1576.5,12086.5,,22,22
"A021165",,,"P",8,0,6325.79,0,948.89,7274.68,,6,6
"A021166",,,"P",50,0,696.43,0,104.46,800.89,,1,1
"A021167",,,"P",200,0,11112.54,0,1666.88,12779.42,,2,2
"A021168",,,"P",49,0,4390.6,0,658.59,5049.19,,1,1
"A021169",,,"P",23,0,2060.89,0,309.13,2370.02,,1,1
"A021170",,,"P",34,0,10113.47,0,1517.02,11630.49,,1,1
"A021171",,,"P",1,0,0,0,0,0,,1,1
"A021172",,,"P",2,0,1300,0,195,1495,,1,1
"A021173",,,"P",5,0,3500,0,525,4025,,4,4
"A021174",,,"P",5,0,1780,0,267,2047,,5,5
"A021175",,,"P",1,0,600,0,90,690,,1,1
"A021176",,,"P",1,0,179.26,0,26.89,206.15,,1,1
"A021177",,,"P",45,0,2961.04,0,444.16,3405.2,,1,1
"A021178",,,"P",54,0,2140.18,0,321.03,2461.21,,2,2
"A021179",,,"P",100,0,2060.83,0,309.12,2369.95,,1,1
"A021180",,,"P",82,0,2047.41,0,307.11,2354.52,,1,1
"A021181",,,"P",70,0,8237.23,0,1235.58,9472.81,,1,1
"A021182",,,"P",42,0,0,0,0,0,,1,1
"A021183",,,"P",6,0,1140,0,171,1311,,4,4
"A021184",,,"P",2,0,1200,0,180,1380,,2,2
"A021185",,,"P",2,0,620,0,93,713,,2,2
"A021186",,,"P",6,0,1900,0,285,2185,,4,4
"A021187",,,"P",2,0,690,0,103.5,793.5,,2,2
"A021188",,,"P",200,0,11080.8,0,1662.12,12742.92,,1,1
"A021189",,,"P",30,0,3530.24,0,529.54,4059.78,,1,1
"A021190",,,"P",45,0,6806.75,0,1021.01,7827.76,,1,1
"A021191",,,"P",5,0,4750,0,712.5,5462.5,,5,5
"A021192",,,"P",1,0,45,0,6.75,51.75,,1,1
"A021193",,,"P",34,0,10113.47,0,1517.02,11630.49,,1,1
