"Articulo1","Articulo2","ClaveCliente","ClaveVendedor","FoliosJuntos"
"CNPU94","FNDNE00R","5702","2","2"
"CNPU94","TSDCPU94","5702","2","2"
"DDDNE00","DDNT392G","5702","2","2"
"DDDNE00","DTNT392N","5702","2","2"
"DDDNE00","FNDNE00R","5702","2","2"
"DDDNE00","MRNT392","5702","2","2"
"DDDNE00","TSDCPU94","5702","2","2"
"DDNT392G","DTNT392N","5702","2","2"
"DDNT392G","FNDNE00R","5702","2","2"
"DDNT392G","MRNT392","5702","2","2"
"DDNT392G","TSDCPU94","5702","2","2"
"DTNT392N","FNDNE00R","5702","2","2"
"DTNT392N","MRNT392","5702","2","2"
"DTNT392N","TSDCPU94","5702","2","2"
"FNDNE00R","MRNT392","5702","2","2"
"FNDNE00R","TSDCPU94","5702","2","2"
"MRNT392","TSDCPU94","5702","2","2"
"333-1608L","PCMA97","5062","7","2"
"SCGA99R","SFRA83L","5223","1","2"
"341-1602L","341-1602R","5053","2","2"
"CDSH91","DDCCU92","5223","1","2"
"CDSH91","DDFEX91CB","5223","1","2"
"CDSH91","FNFEC01L","5223","1","2"
"DDCCU92","DDFEX91CB","5223","1","2"
"DDCCU92","FNFEC01L","5223","1","2"
"DDFEX91CB","FNFEC01L","5223","1","2"
"CCCH02","SPFPU92","5132","1","2"
"CDSH91","SFES97L","5995","9","2"
"CCCA91","CCPU92","5092","7","2"
"CCCA91","CCPU99","5092","7","2"
"CCCA91","CDNE00","5092","7","2"
"CCCA91","CFCN98","5092","7","2"
"CCCA91","CFPU80","5092","7","2"
"CCCA91","DDNPU84P","5092","7","2"
"CCCA91","PVGO89GTI","5092","7","2"
"CCCA91","SCPU99R","5092","7","2"
"CCCA91","SFES97L","5092","7","2"
"CCCA91","SFES97R","5092","7","2"
"CCCA91","SFKA01L","5092","7","2"
"CCCA91","SFKA01R","5092","7","2"
"CCCA91","SFPU92L","5092","7","2"
"CCCA91","SFPU92R","5092","7","2"
"CCCA91","SFRA93R","5092","7","2"
"CCCA91","SFVA97L","5092","7","2"
"CCPU92","CCPU99","5092","7","2"
"CCPU92","CDNE00","5092","7","2"
"CCPU92","CFCN98","5092","7","2"
"CCPU92","CFPU80","5092","7","2"
"CCPU92","DDNPU84P","5092","7","2"
"CCPU92","PVGO89GTI","5092","7","2"
"CCPU92","SCPU99R","5092","7","2"
