"Articulo1","Articulo2","FoliosJuntos"
"MEPCPU95L","MEPCPU95R","3"
"MEPCPU92L","MEPCS1082L","3"
"221-1110R","333-1105L","3"
"221-1110R","333-1105R","3"
"BDDCPU99","DDCPU99C","3"
"DDCPU99C","SPCPU99V","3"
"332-1515L","332-1515R","3"
"PFEX91C","PFRA89C","3"
"PFEX91C","PNPU86","3"
"PFRA89C","PNPU86","3"
"PFEX91C","PNPU94C","3"
"PFRA89C","PNPU94C","3"
"PFEX91C","PNPU94P","3"
"PFRA89C","PNPU94P","3"
"SF60073L","SF60073R","3"
"MPDPU92CC","SFVA97R","3"
"SCSU97L","SCSU97R","3"
"CDNE00","CFES97","3"
"CCPU92","CFPU97","3"
"CFES97","CFPU97","3"
"SCPU99L","SDPU94L","3"
"SCPU99L","SDSP90L","3"
"SCPU99L","SFPU97R","3"
"SCPU99R","SFPU97R","3"
"331-1922L","331-1922R","3"
"CNT392","PCPU89CH","3"
"PCPU89CH","PFPU97LOP","3"
"PCPU89CH","PNPU94P","3"
